country_code,country_name,flag_path,anthem_music_path,anthem_text_path,anthem_keywords
me,Montenegro,flag_images\me.jpg,anthems_music\me.mp3,anthems_text\me.txt,"[('montenegro', 9), ('mother', 6), ('bright', 4), ('dawn', 4), ('may', 4), ('shall', 3), ('eternal', 3), ('sons', 2), ('rocks', 2), ('keepers', 2)]"
ga,Gabon,flag_images\ga.jpg,anthems_music\ga.mp3,anthems_text\ga.txt,"[('us', 7), ('may', 4), ('let', 4), ('last', 3), ('gabon', 2), ('rise', 2), ('attain', 2), ('happiness', 2), ('ever', 2), ('banish', 2)]"
bj,Benin,flag_images\bj.jpg,anthems_music\bj.mp3,anthems_text\bj.txt,"[('benin', 5), ('children', 2), ('arise', 2), ('ancestors', 2), ('courage', 2), ('spirit', 2), ('green', 2), ('hope', 2), ('richest', 2), ('resounding', 1)]"
mg,Madagascar,flag_images\mg.jpg,anthems_music\mg.mp3,anthems_text\mg.txt,"[('oh', 5), ('beloved', 3), ('fatherland', 3), ('creator', 2), ('truly', 2), ('blessed', 2), ('wish', 2), ('good', 1), ('madagascar', 1), ('love', 1)]"
sd,Sudan,flag_images\sd.jpg,anthems_music\sd.mp3,anthems_text\sd.txt,"[('land', 2), ('sudan', 2), ('army', 1), ('god', 1), ('shall', 1), ('never', 1), ('fail', 1), ('called', 1), ('sacrifice', 1), ('whether', 1)]"
cv,Cape Verde,flag_images\cv.jpg,anthems_music\cv.mp3,anthems_text\cv.txt,"[('sing', 5), ('brother', 4), ('freedom', 3), ('hymn', 2), ('man', 2), ('certainty', 2), ('dignity', 1), ('bury', 1), ('seed', 1), ('dust', 1)]"
cw,Curaçao,flag_images\cw.jpg,anthems_music\cw.mp3,anthems_text\cw.txt,"[('us', 5), ('curaçao', 4), ('always', 3), ('let', 3), ('sing', 2), ('island', 2), ('love', 2), ('give', 2), ('raise', 1), ('voice', 1)]"
mv,Maldives,flag_images\mv.jpg,anthems_music\mv.mp3,anthems_text\mv.txt,"[('salute', 4), ('nation', 3), ('national', 2), ('flag', 2), ('unity', 1), ('language', 1), ('offer', 1), ('prayers', 1), ('bow', 1), ('respect', 1)]"
bn,Brunei Darussalam,flag_images\bn.jpg,anthems_music\bn.mp3,anthems_text\bn.txt,"[('kingdom', 2), ('god', 1), ('bless', 1), ('majesty', 1), ('long', 1), ('life', 1), ('justly', 1), ('nobly', 1), ('rule', 1), ('lead', 1)]"
dm,Dominica,flag_images\dm.jpg,anthems_music\dm.mp3,anthems_text\dm.txt,"[('isle', 3), ('gifts', 3), ('beauty', 2), ('fair', 2), ('must', 2), ('rich', 2), ('rare', 2), ('healthy', 2), ('thee', 2), ('sons', 2)]"
pw,Palau,flag_images\pw.jpg,anthems_music\pw.mp3,anthems_text\pw.txt,"[('one', 3), ('palau', 2), ('strength', 2), ('power', 2), ('country', 2), ('life', 2), ('coming', 1), ('forth', 1), ('old', 1), ('ways', 1)]"
